Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE)u,Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (Tonnes CO2e),Waste managers (WTE),WEEE waste cost (£),WEEE waste weight (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (Tonnes CO2e),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,14,0,0,1,0,29,2,0,48,27,3,5,No,0,No,Not Applicable,Not Applicable,0,1255,6.9,0,0,0,12310728,3134222,0,0,15444950,0,5,1254666,0,0,-361711,-4605908,0,-136936,0,-5104555,3,179,0,0,0,0,0,218094,3. Mixed,External
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,4,4,1,4,0,0,0,1,78,16,0,108,27,32,0,Yes,2.75,Yes,1299,0.11,5,30080,66.18,0,37,20843927,22782396,921413,0,0,40480240,4067496,0,Not Applicable,Not Applicable,-173751,-145081,0,0,-3944617,-2844387,-7107836,6,0,462,0,0,0,5755759,485490,3. Mixed,Internal
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,2,1,0,1,0,2,0,2,32,2,1,43,12,33,0,No,1,Yes,6530,2.9,0.65,2110,19.97,801,0,538996,4597925,3869153,5000,0,7861479,1149595,0,Not Applicable,Not Applicable,0,-1575591,-207773,-22385,-1434827,-1157377,-4397953,0,63,43,0,0,0,1024901,508668,3. Mixed,Hybrid
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,Yes,1,No,Not Applicable,Not Applicable,1,5323,14.31,0,2,52807873,811173,2310810,1316309,0,57165246,80919,6,923711,500,-382622,-4904546,-196152,0,-1319116,-1252736,-8055172,1,111,15,0,0,0,1272355,90390,3. Mixed,Hybrid
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,1,6,1,0,6,2,77,2,0,95,45,1,19,Yes,0.5,No,Not Applicable,Not Applicable,1,932,1.2,0,8,734047,1842924,1188272,239674,0,4004917,0,3,90000,0,0,-147080,-99717,-23073,0,0,-269870,1,40,5,0,0,0,189413,84097,3. Mixed,External
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,4,0,53,4,0,61,16,14,0,Yes,0,No,Not Applicable,Not Applicable,0,0,0,0,0,0,688000,188000,16000,0,892000,0,3,80000,8,0,0,0,0,0,0,0,0,1,1,0,0,0,17409,73157,3. Mixed,Hybrid
R1F,ISLE OF WIGHT NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,0,0,1,0,0,0,0,0,0,5,1,7,1,0,0,Yes,0,No,Not Applicable,Not Applicable,0.4,11082,4.19,0,6,2367697,3191440,310092,227412,0,6096641,0,1,290655,30,-91763,-15400,0,0,-361030,-180590,-648783,0,3,51,0,0,0,153647,227344,3. Mixed,Internal
R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,1,0,0,0,0,0,26,2,1,33,12,10,0,No,1,Yes,12559,41.24,2,30550,15.7,0,0,42164000,9809000,12649000,33000000,0,93304000,4318000,0,Not Applicable,Not Applicable,-1319001,-4915579,-7550422,0,0,0,-13785002,2,188,2,0,0,0,5851301,3117303,3. Mixed,Hybrid
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,4,0,0,7,1,6,0,Yes,0.25,Yes,5345,3.03,1,24399,14.35,0,0,10651930,4012967,6611385,3211290,0,24055020,432552,0,Not Applicable,Not Applicable,-247241,0,0,0,-2204249,-814366,-3265856,2,336,0,0,0,0,2285185,499621,3. Mixed,Hybrid
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,12,14,3,2,4,10,80,10,1,136,15,35,10,Yes,0,Yes,3000,91,1,1220,8.5,0,0,0,3811631,2096172,0,0,5907803,0,2,473241,249,0,-542004,-377337,0,0,0,-919341,13,57,36,0,0,0,17040,226106,3. Mixed,Internal
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,2,0,6,2,0,11,0,7,0,Yes,0.5,No,Not Applicable,Not Applicable,1,23251,20.8,0,0,14209047,3366316,4000000,0,0,21575363,0,20,558333,83.99,-382450,-110579,0,0,-1318623,-655812,-2467464,0,44,1,0,0,0,1266754,277564,3. Mixed,Internal
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,1,0,2,0,0,5,0,0,0,No,1,Yes,89198,0.09,2,8233,15.18,0,29,0,15228000,5333000,5061000,0,24587000,1035000,0,Not Applicable,Not Applicable,-32469,0,0,0,-1376921,-447945,-1857335,5,60,4,0,0,0,2808685,229516,3. Mixed,Internal
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,1,0,0,0,1,0,4,0,21,2,1,30,8,0,1,Yes,0.1,Yes,16203,214,1,5980,13.82,0,6,2644000,503000,6742000,3941000,0,13344000,486000,0,Not Applicable,Not Applicable,-216046,-407707,-17535,0,-1018886,-347021,-2007195,10,122,0,0,0,0,1987300,54666,3. Mixed,Internal
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,1,0,1,0,0,0,2,0,2,0,0,6,0,3,0,Yes,1,No,Not Applicable,Not Applicable,1,0,1.82,0,4,14026862,10723073,3955881,294190,0,28980960,19046,0,Not Applicable,Not Applicable,-401696,-460575,-2536,0,-675433,-477371,-2017611,3,151,0,0,0,0,61797,242810,3. Mixed,Internal
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,3,0,6,4,0,16,0,2,0,Yes,1,Yes,7971,3.5,1,0,0,0,7,30769664,29556578,7406601,0,0,67732843,0,0,Not Applicable,Not Applicable,-260125,-1712793,-622491,0,-3866781,-346283,-6808473,9,295,151,0,0,0,3989715,331100,3. Mixed,Internal
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,1,0,62,5,0,71,46,1,0,No,1,Yes,15911,7.74,1,17290,28.2,149,4,11945000,32066000,0,40570000,0,81382000,3199000,0,Not Applicable,Not Applicable,-1913453,-11524434,-3636550,0,-2535588,-737364,-20347389,5,90,82,0,0,0,9493,285467,3. Mixed,Hybrid
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,Yes,0,No,Not Applicable,Not Applicable,0.5,6941,22.47,0,0,0,4227848,1727066,880454,0,6419928,415440,1,1275782,245,0,0,0,0,0,0,0,1,75,0,0,0,0,312210,106836,3. Mixed,Hybrid
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,1,1,11,0,0,14,10,0,0,No,0,Yes,0,0,0,1374,1.81,0,5,0,1814000,3951000,0,0,5765000,0,0,Not Applicable,Not Applicable,0,-2641462,0,0,-1025180,-193944,-3860586,0,102,1,0,0,0,1304786,379571,3. Mixed,Hybrid
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SMALL,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Yes,0,Yes,36500,1.25,0.5,8582,5.97,0,8,8770518,432147,7881202,0,0,17083867,0,0,Not Applicable,Not Applicable,0,0,0,0,-1521051,-317791,-1838842,3,14,6,0,0,0,375526,163094,3. Mixed,Internal
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,11,32,6,1,4,0,120,13,2,189,20,19,14,Yes,1,No,Not Applicable,Not Applicable,1,1271,0.3,0,1,0,247323,1659758,0,0,1731281,175800,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,11,34,15,0,0,0,12168,71288,3. Mixed,Hybrid
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,11,0,0,12,11,0,0,No,1,No,Not Applicable,Not Applicable,0,10384,10.1,0,0,1059378,7576349,0,7628432,0,16264159,0,3,1254438,115,460435,237408,1312138,0,0,0,2009981,5,97,1,0,0,0,2598720,194879,3. Mixed,Internal
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,5,12,0,18,0,0,0,Yes,0,Yes,258601,15.78,0,1608,2.3,0,2,9827160,7555053,853934,269790,0,18110043,395894,1,52254,17.74,-136774,-4579,-265128,0,-434489,0,-840970,0,143,3,0,0,0,889355,95451,3. Mixed,Internal
RBK,WALSALL HEALTHCARE NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,1,18,0,0,20,1,16,1,No,0.1,No,Not Applicable,Not Applicable,0,850,0.5,0,0,2188031,11475341,1675802,111252,1488000,9878426,4084000,0,Not Applicable,Not Applicable,0,0,0,0,-1367269,0,-1367269,3,84,0,0,0,0,1490051,434879,3. Mixed,Hybrid
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,1,0,1,0,0,0,0,0,3,2,0,7,0,0,0,Yes,0.2,Yes,0,0,1,11868,6.38,0,13,3100000,15600000,0,3400000,0,22019000,81000,0,Not Applicable,Not Applicable,-78271,-296606,-1341264,0,-1130733,-828314,-3675188,0,127,0,0,0,0,238483,49498,3. Mixed,Internal
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,4,0,0,0,0,0,1,0,11,1,0,17,0,2,1,Yes,2,Yes,8552,4.6,2,8775,7.4,0,3,8180000,7701000,4178000,2154000,0,21912000,301000,0,Not Applicable,Not Applicable,0,0,0,0,-2048521,-1165286,-3213807,5,145,4,0,0,0,542369,76088,3. Mixed,Internal
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0,No,Not Applicable,Not Applicable,0,3358,1.3,0,4,21304,2118990,530826,3286778,0,5938759,19139,2,47492,58.7,0,0,0,0,0,-279457,-279457,1,33,0,0,0,0,0,56000,3. Mixed,Hybrid
RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,0,1,0,0,1,0,0,2,0,1,5,0,2,0,Yes,1,No,Not Applicable,Not Applicable,0,3484,7.6,0,2,6842567,3806567,0,0,0,10625900,23234,1,500000,10,0,-1969671,0,0,-613704,-468303,-3051678,0,37,0,0,0,0,428883,548176,3. Mixed,Hybrid
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,1,16,0,0,18,5,15,0,Yes,1,Yes,1401,0.42,1,3500,4,0,9,19419000,1408000,26366000,520000,0,47713000,0,2,109000,70,0,-474631,-57423,0,-1062201,-537684,-2131939,0,39,27,0,0,0,1008889,230000,3. Mixed,Hybrid
RBV,THE CHRISTIE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,Yes,1339,0.5,1,4528,1.31,0,6,0,3044898,1117278,492673,0,4654849,0,0,Not Applicable,Not Applicable,-213579,-1014257,-143538,0,-113753,-272374,-1757501,1,7,55,0,1,0,90435,61470,3. Mixed,Internal
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,1,0,10,3,0,16,7,7,0,Yes,0.5,No,Not Applicable,Not Applicable,0.5,3980,50.69,0,0,51387425,14695430,4075000,6065000,0,74847680,1375175,10,191355,41,-268980,-5439391,-102994,0,-2441039,-121309,-8373713,8,43,102,0,0,0,189831,514055,3. Mixed,Hybrid
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,1,0,0,5,0,19,11,1,40,12,13,4,Yes,1,Yes,2633,1.33,1,0,32.1,814.29,22,11292449,30008314,4335534,47270,0,44842665,840902,0,Not Applicable,Not Applicable,-148022,-765667,-269826,-14133,-2255696,-426802,-3880146,0,114,8,0,0,0,2662948,109609,3. Mixed,Hybrid
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,1,115,58,1,177,149,36,0,Yes,0.2,No,Not Applicable,Not Applicable,1,2399,2.15,301,7,16160672,2653273,68947,651203,0,19534095,0,0,Not Applicable,Not Applicable,-213675,-250836,-168848,0,-910868,-156121,-1700348,1,7,19,0,0,0,0,625643,3. Mixed,Hybrid
RCF,AIREDALE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,1,0,0,0,1,0,0,0,0,3,0,2,2,Yes,0,Yes,4940,2.71,1,2727,11.92,393.72,8,0,19612527,686059,296583,0,20595169,0,0,Not Applicable,Not Applicable,-54789,-9733,-15268,0,-858399,-540885,-1479074,1,73,0,0,1,0,737286,0,3. Mixed,Internal
RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,1,0,0,1,0,8,25,0,36,19,2,0,Yes,0.5,No,Not Applicable,Not Applicable,0.5,893,1.8,0,2,5030000,3250000,1162000,0,0,9358000,84000,0,Not Applicable,Not Applicable,-218160,-478413,0,0,-11474,0,-708047,0,23,6,0,0,0,939549,4705,3. Mixed,Internal
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,3,0,0,4,3,0,0,Yes,0.1,Yes,20000,22,1,3818,7.91,0,1,16227796,2644882,32172805,945396,0,49327001,2663878,2,83211,0,-260805,-402209,-66543,0,-1196148,-363950,-2289655,2,53,1,0,0,0,757590,43162,3. Mixed,Internal
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,2,1,0,0,0,0,1,0,14,2,0,20,12,8,0,Yes,1.5,Yes,0,0,1,3350,9.31,0,4,17560164,22046374,1252414,161365,0,29990667,11029650,3,0,0,-5760,-338563,-17583,0,-2419738,-214134,-2995778,2,53,1,0,0,0,0,397472,3. Mixed,Hybrid
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,0,4,2,0,7,1,1,0,Yes,0,No,Not Applicable,Not Applicable,0.25,2531,13.23,0,3,32408827,9182310,0,287021,0,35569158,6309000,2,1430649,24.12,0,0,0,0,-1413142,-30148,-1443290,3,103,3,0,0,0,613326,23358,3. Mixed,Hybrid
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,5,0,24,5,1,37,0,15,0,No,1,Yes,16882,7.5,1,6923,7.39,0,0,37663370,3034284,4191000,77770,492000,43419424,1055000,0,Not Applicable,Not Applicable,-1615549,-1005654,-371403,0,-3939412,-418552,-7350570,4,174,27,0,4,0,1708415,127665,3. Mixed,Hybrid
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,COMMUNITY,0,0,0,6,1,0,8,2,57,7,2,83,28,28,12,Yes,0.25,Yes,45618,71,1.75,3648,17.02,28,0,0,950000,2415000,0,0,3365000,0,0,Not Applicable,Not Applicable,0,50657,18798,0,0,0,69455,1,22,8,0,0,0,427219,108332,3. Mixed,Hybrid
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,2,0,7,6,0,18,4,6,0,No,0.4,Yes,2147,0.92,0.75,13927,13.7,0,9,39028242,7764509,11271961,117155,0,58181867,0,7,4114532,0,-102000,-325416,-313781,-520,-3684934,-1560995,-5987646,3,247,3,0,0,0,202015,120666,3. Mixed,Internal
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,1,0,8,8,0,156,4,0,177,119,3,0,No,0,Yes,37145,7.22,0.5,6305,6.76,0,13,15988798,4703769,664356,1738560,0,22351356,744127,0,Not Applicable,Not Applicable,0,-38688,-5686,-488,-12034,0,-56896,9,57,8,0,0,0,0,371094,3. Mixed,Internal
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,0,0,4,3,1,11,0,0,0,Yes,0,No,Not Applicable,Not Applicable,0.2,3730,22.99,0,1,10755486,9186727,3829366,4572651,0,28286693,57537,0,Not Applicable,Not Applicable,-159626,-2680377,-95685,-392,-1589716,-576544,-5102340,0,99,25,0,0,0,1194742,278482,3. Mixed,Hybrid
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,18,7,0,28,8,6,0,Yes,1,Yes,5432,2.22,0.5,0,0,0,9,8554209,7508532,20032452,666655,0,36660848,101000,5,705577,175,-187103,-96697,-72357,0,-2611839,-2105722,-5073718,13,301,5,0,0,0,0,1093630,3. Mixed,Hybrid
REN,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,No,0,No,Not Applicable,Not Applicable,0,580,2.45,14,0,0,1195401,1704866,150856,0,3051123,0,1,130000,119,-16425,0,-522467,0,0,-193799,-732691,0,30,0,0,0,0,28694,47430,3. Mixed,Hybrid
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,Yes,0.25,No,Not Applicable,Not Applicable,0,1343,0.65,0,0,0,5525961,232157,112415,0,5745484,125049,1,50064,1,-42990,-284043,-14460,0,-139478,-436115,-917086,0,20,4,0,0,0,400000,220486,1. Paper,Internal
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,No,1,No,Not Applicable,Not Applicable,0.5,4077,2.67,0,1,0,1140107,2728893,759601,0,4628601,0,2,883674,231.8,-63327,-32602,-359158,0,-15182,-30161,-500430,0,17,6,0,0,0,585578,522949,3. Mixed,Hybrid
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,13,5,0,20,0,6,7,No,0.75,No,Not Applicable,Not Applicable,0.25,0,0,0,7,0,14464746,3029357,3426423,0,20920526,0,0,Not Applicable,Not Applicable,0,-94845,0,0,-2432695,-999474,-3527014,1,191,3,0,0,0,1744946,556210,3. Mixed,Internal
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,Yes,1,No,Not Applicable,Not Applicable,1,9731,6.63,285.36,0,5898954,2076675,1642897,901356,0,10519882,0,1,5255,58,-135158,-12371,-20087,0,-1190056,-478566,-1836238,2,47,8,0,0,0,721701,87420,3. Mixed,Internal
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,134,1,0,136,3,11,118,Yes,0,Yes,6239,2.33,1,2992,6.26,0,6,0,6943000,3674000,76000,0,10693000,0,0,Not Applicable,Not Applicable,0,0,-138949,0,-274746,-452637,-866332,2,65,0,0,0,0,1470287,119441,3. Mixed,Internal
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,Yes,0.4,Yes,5588,4.3,0.6,6239,14,384.52,0,0,993000,1379000,19000,0,2391000,0,1,39000,0.95,0,-867838,-99953,0,-1353548,-491669,-2813008,2,30,16,0,0,0,1390895,74035,3. Mixed,Internal
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,19,1,4,0,0,0,4,1,29,1,2,28,Yes,0.5,No,Not Applicable,Not Applicable,0.5,4583,12.17,0,0,0,9106078,155794,153474,0,9415346,0,3,24129,0,0,0,470629,0,0,0,470629,27,85,20,0,1,1,343360,70311,1. Paper,Hybrid
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,Yes,0,No,Not Applicable,Not Applicable,0.5,7316,6,0,0,277474,544684,290962,0,0,1113120,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,29,1,0,0,0,0,68337,3. Mixed,Hybrid
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,1,0,3,5,1,12,4,1,0,Yes,0,No,Not Applicable,Not Applicable,1,22371,26.34,0,2,27802827,12446262,5698010,1563849,4093094,43417854,0,0,Not Applicable,Not Applicable,-258303,-2759088,-1149270,0,-2241486,0,-6408147,6,186,5,0,3,0,1509397,1224416,3. Mixed,Hybrid
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,Yes,0,No,Not Applicable,Not Applicable,1,832,5.39,0,4,35237306,44389,9914397,432525,0,45628617,0,0,Not Applicable,Not Applicable,-61952,-66001,0,0,-936851,-193702,-1258506,0,40,4,0,0,0,1268158,0,3. Mixed,Internal
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,2,20,3,0,27,23,2,6,Yes,0.5,Yes,1462,0.48,0.5,0,13.32,0,7,18437000,1315000,6118000,7660000,0,33530000,0,3,88800,0,-175599,-759024,-1674877,0,-1326728,-568598,-4504826,2,43,8,0,0,0,1157644,0,3. Mixed,Internal
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,0,37,7,0,45,32,1,17,No,1,No,Not Applicable,Not Applicable,0,15370,24.43,0,2,25931457,13818904,11203739,18186341,0,67498432,1642009,6,114039,751,-839010,-3832645,-15829180,0,-4232,-1249337,-21754404,1,106,95,0,0,0,178952,25132,3. Mixed,Internal
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,2,0,0,4,0,0,13,0,13,9,3,44,2,2,0,Yes,1,No,Not Applicable,Not Applicable,2,103440,17.18,225.6,9,34141859,10259994,7984109,1050900,0,50808641,2628221,7,249147,31,411567,1281739,358237,0,-2467124,-763241,-1178822,24,54,20,0,21,0,0,1631878,3. Mixed,Internal
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,4,0,25,6,0,37,7,11,0,Yes,1,Yes,26989,6.39,1,10788,31.93,0,4,19877000,4871000,10573000,0,0,35321000,0,3,624854,98,0,-10000000,-5205006,-661889,-962244,-174127,-17003266,7,93,59,0,2,0,132000,23608,3. Mixed,Internal
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,13,0,0,3,0,81,45,1,143,75,25,2,Yes,1,Yes,2915,22.61,1,8707,32.66,0,17,0,22474421,5476613,108529,0,28059563,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,26,69,9,0,2,0,66639,335269,3. Mixed,Hybrid
