Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE)u,Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (Tonnes CO2e),Waste managers (WTE),WEEE waste cost (£),WEEE waste weight (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (Tonnes CO2e),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,3,0,0,2,0,8,3,0,0,Yes,1.5,Yes,0,0,1,11467,28,37,4,1652266,10951942,112575,292333,0,13009116,0,0,Not Applicable,Not Applicable,-692134,-1058988,-1514868,0,-2208502,0,-5474492,2,0,138,0,0,0,909816,140436,3. Mixed,External
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,24,7,11,0,0,6,2,2,52,4,1,0,Yes,1,No,Not Applicable,Not Applicable,0.1,739,0.56,0,0,0,7476000,1119000,265000,0,8860000,0,36,1788000,414.58,0,0,0,0,0,0,0,0,0,6,0,0,0,0,72000,3. Mixed,External
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,34,1,3,0,0,5,6,1,51,29,7,3,Yes,1,No,Not Applicable,Not Applicable,1,697,2.43,0,0,16133770,3467183,2005478,228271,0,21834702,0,1,223228,0.86,0,0,0,0,-20967,0,-20967,13,34,13,0,0,0,0,77474,3. Mixed,Hybrid
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,Yes,0,Yes,0,0,0.4,0,4.13,0,3,470000,2079000,720000,566000,0,3835000,0,1,121000,0,0,0,0,0,-1118219,-610397,-1728616,1,10,59,0,0,0,545872,363046,3. Mixed,Internal
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,5,0,1,4,0,80,3,0,94,65,15,0,Yes,0,No,Not Applicable,Not Applicable,0,210,2.38,0,1,0,5733005,134587,569670,0,6437262,0,6,388914,13.7,0,-140281,-3473322,-184888,-157388,0,-3955879,4,4,1,0,0,0,72126,68164,3. Mixed,Internal
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,0,0,99,4,0,105,92,3,83,Yes,1,Yes,47910,1,1,2445,4.55,315.96,0,42216813,1614468,0,64630,0,43771161,124750,0,Not Applicable,Not Applicable,177731,49604,190344,0,-852702,-648530,-1083553,0,35,0,0,0,0,406820,13327,3. Mixed,Internal
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,3,0,0,5,0,2,0,Yes,1,Yes,0,0,1,8384,33.36,0,14,97092000,11296000,22256000,0,0,109823000,20821000,2,16738000,1106,-637653,-1209240,-585613,0,-2323412,-1110460,-5866378,5,15,245,0,0,0,0,539563,3. Mixed,Hybrid
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,43,1,0,0,0,27,13,0,84,15,9,1,Yes,0.68,Yes,800000,4579.16,1.5,2610,7.01,0,7,0,6277773,0,957569,0,7235342,0,0,Not Applicable,Not Applicable,0,-196451,-1392808,-217556,-500,0,-1807315,6,43,1,0,1,0,0,220200,3. Mixed,Hybrid
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,43,3,7,1,0,9,0,0,63,0,10,0,Yes,1,No,Not Applicable,Not Applicable,1,2410,21.99,0,15,0,1293000,7443000,0,0,8736000,0,0,Not Applicable,Not Applicable,0,0,185312,0,0,0,185312,24,15,0,0,2,0,188975,282478,3. Mixed,Hybrid
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,12,0,3,0,0,77,8,3,103,47,8,23,No,0.44,Yes,8240,4.38,0,38187,6,539.87,2,302081,14586043,925012,153044,0,15966180,0,5,165702,126,0,697837,0,0,-130923,0,566914,16,322,7,0,2,0,76405,124440,3. Mixed,Internal
