Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE),Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (CO2e (tonnes)),Waste managers (WTE),WEEE waste cost (£),WEEE waste volume (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (CO2e (tonnes)),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,24,2,0,29,12,9,0,Yes,1.00,No,Not Applicable,Not Applicable,2.00,"10,895",22.42,0.00,6,"5,994,284","13,240,353","12,078,043",0,0,"31,262,680","50,000",1,"260,000",44.00,"-1,169,320","-200,513","-773,564",0,"-879,470","-811,001","-3,833,868",2,283,7,0,0,0,"2,929,104","1,662,168",3. Mixed,Hybrid
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,0,0,0,1,0,3,0,2,0,Yes,0.20,No,Not Applicable,Not Applicable,1.00,"3,239",4.26,0.00,2,"11,358,000","5,741,000","4,123,000",0,0,"21,222,000",0,1,"30,000",4.90,0,0,0,0,"-825,365",0,"-825,365",0,0,95,0,0,0,"558,400","60,000",3. Mixed,Hybrid
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,4,1,21,16,1,44,21,7,0,Yes,0.00,Yes,"13,392",7.34,1.00,"10,996",25.48,0.00,3,"25,268,085","46,436,046","982,689","278,051",0,"72,964,871",0,4,"190,531",392.70,"-638,041","-190,019","79,857",0,"-1,238,441","-1,254,756","-3,241,400",4,57,11,0,0,0,"3,678,866","149,191",3. Mixed,Internal
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,No,0.00,Yes,"21,487",6.50,0.00,159,0.20,0.00,0,"1,308,000","4,953,000","6,720,000","29,000","5,613,000","7,397,000",0,0,Not Applicable,Not Applicable,"-34,141","-2,042,527","-1,086,574",0,"-5,925,973","-3,236,480","-12,325,695",5,0,61,0,0,0,0,"1,582,431",3. Mixed,External
RKE,WHITTINGTON HEALTH NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - MULTI-SERVICE,1,0,0,1,0,0,0,0,61,1,0,64,15,9,1,Yes,1.00,Yes,"3,500",2.00,1.00,0,0.00,0.00,0,"2,360,000","375,000","2,200,000","1,350,000",0,"6,285,000",0,3,"185,000",460.00,"-41,200",0,0,0,"-53,700",0,"-94,900",4,54,1,0,0,0,"765,830","78,200",3. Mixed,Hybrid
RKL,WEST LONDON NHS TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,6,0,0,1,0,35,2,0,44,10,6,6,No,0.20,No,Not Applicable,Not Applicable,1.00,"13,532",9.07,0.00,2,"8,306,000","8,373,000",0,"3,086,000",0,"19,765,000",0,0,Not Applicable,Not Applicable,0,"-105,856","-249,653","-200,863","-23,617",0,"-579,989",14,255,9,0,0,0,"64,366","114,660",1. Paper,Hybrid
RL1,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0.10,No,Not Applicable,Not Applicable,0.10,547,1.00,0.00,2,"1,946,769","60,053","488,215","1,865,073",0,"4,360,110",0,0,Not Applicable,Not Applicable,"7,131","187,682","-146,581",0,"-269,601",0,"-221,369",10,20,2,0,0,0,"223,030","26,016",3. Mixed,Hybrid
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,1,0,17,2,0,22,0,7,0,No,1.00,Yes,"24,462",55.79,1.00,"35,935",36.64,0.00,15,0,"29,898,856","3,858,580","148,738",0,"21,191,464","12,714,710",4,"656,026",20.13,"-163,696","-223,684","-437,665","-10,094","-1,354,421",0,"-2,189,560",4,0,188,0,0,0,"949,917","60,997",3. Mixed,Internal
RLQ,WYE VALLEY NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MULTI-SERVICE,1,0,0,0,0,0,3,0,10,5,0,19,3,2,0,Yes,0.20,No,Not Applicable,Not Applicable,0.20,"5,890",7.00,0.00,1,"24,167,148","277,918",0,0,0,"24,445,066",0,0,Not Applicable,Not Applicable,"-8,024","-48,601","-10,291",-650,"-520,002","-345,065","-932,633",0,0,67,0,0,0,"939,236","237,992",3. Mixed,Internal
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,20,1,0,22,20,9,0,No,0.00,Yes,"14,865",0.00,0.50,"1,435",4.56,0.00,2,"18,644,000","651,000","3,086,000","338,000",0,"22,717,008","1,992",0,Not Applicable,Not Applicable,"-68,561","-185,233","-804,595",0,"-596,928","-242,197","-1,897,514",2,109,1,0,0,0,0,"1,502,104",3. Mixed,Internal
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,10,3,2,0,0,10,5,0,30,3,0,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,0,0.00,0.00,0,0,"2,318,000","395,000","582,000",0,"3,295,000",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,15,13,2,0,0,0,"77,210",0,3. Mixed,Internal
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,1,0,0,0,0,0,5,7,0,14,0,1,0,No,0.00,No,Not Applicable,Not Applicable,0.00,"12,460",52.40,0.00,0,"24,155,528","3,239,583",0,0,0,"27,363,271","31,840",2,"193,279",69.00,"-254,784",0,"-209,634","-29,869","-1,639,776","-1,285,459","-3,419,522",9,204,14,0,0,0,"2,117,956",0,3. Mixed,Hybrid
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,4,1,0,0,0,0,1,4,73,8,5,96,74,20,0,No,1.00,No,Not Applicable,Not Applicable,2.00,"14,260",10.96,0.00,3,"36,205,000","12,781,000","1,491,960","12,348,000",0,"62,717,857","108,103",0,Not Applicable,Not Applicable,"-309,260","-380,970","-277,153",0,"-1,742,689","-945,908","-3,655,980",5,98,314,0,0,0,"6,898,390","2,498,492",3. Mixed,Hybrid
RMC,BOLTON NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,1,19,1,0,22,0,13,1,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"11,279",8.00,491.00,2,"7,440,668","13,470,308",0,0,0,"20,717,721","193,255",1,"48,592",0.00,"-252,500","-241,795","-7,560,080","-47,601","-1,093,210","-556,545","-9,751,731",1,30,50,0,0,0,"2,295,624","210,972",3. Mixed,Internal
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,0,12,4,0,18,3,0,2,Yes,0.50,Yes,"18,443",27.21,0.50,"4,534",2.13,0.00,13,"11,401,000","719,000","2,302,000","4,781,000",0,"19,203,000",0,0,Not Applicable,Not Applicable,0,"-987,359",0,0,"-374,470","-380,643","-1,742,472",0,78,18,0,0,0,"863,821","111,844",3. Mixed,Hybrid
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,11,0,1,0,0,16,12,2,42,11,4,0,No,0.33,Yes,"50,000",48.00,0.66,928,5.00,0.00,4,"3,772,732","3,755,930","479,525","744,020",0,"8,752,207",0,0,Not Applicable,Not Applicable,0,"6,032","494,309","10,158",0,0,"510,499",23,78,16,0,2,0,"218,887",0,3. Mixed,Internal
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,2,50,5,0,58,45,12,0,No,2.00,Yes,"47,597",0.00,2.00,"8,414",12.40,0.00,0,"20,216,563","1,188,017","3,729,124","591,809",0,"25,570,107","155,406",0,Not Applicable,Not Applicable,"-83,000",0,0,0,"-1,254,822",0,"-1,337,822",0,29,37,0,0,0,"662,000","311,000",3. Mixed,External
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,0,0,4,3,0,10,1,1,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"14,532",4.41,0.00,10,"12,984,000","6,127,000",0,"5,450,000",0,"23,959,000","602,000",0,Not Applicable,Not Applicable,"-497,106","-115,390","-305,086","-300,000","-1,804,637",0,"-3,022,219",6,40,7,0,0,0,"2,004,017","816,063",3. Mixed,Hybrid
RN7,DARTFORD AND GRAVESHAM NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - SMALL,1,0,1,0,0,0,0,0,3,1,0,6,1,2,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"1,482",9.06,0.00,5,"6,226,000","5,939,000","41,523,000","4,387,000",0,"58,075,000",0,1,"862,000",0.00,0,"-3,349","-205,978","-5,202",0,0,"-214,529",2,52,0,0,0,0,"1,558,051","168,588",3. Mixed,External
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,15,2,0,18,7,9,0,Yes,1.00,No,Not Applicable,Not Applicable,0.50,"3,743",5.59,0.00,0,0,"2,059,000","1,275,000",0,"1,253,000","2,081,000",0,0,Not Applicable,Not Applicable,"-103,783","-451,882","-355,855",0,"-814,894","-47,532","-1,773,946",3,44,21,0,0,0,"1,656,858",0,3. Mixed,Internal
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,0,0,0,0,0,36,0,0,36,28,1,26,Yes,0.00,No,Not Applicable,Not Applicable,0.00,0,0.00,0.00,0,0,0,"1,107,000",0,0,"1,107,000",0,3,"388,000",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,000","10,000",3. Mixed,Internal
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,5,0,31,7,0,45,13,14,0,Yes,0.33,Yes,0,0.00,1.00,"3,653",3.77,0.00,8,"24,549,624","1,935,695","889,493","611,060","1,737,318","26,248,554",0,0,Not Applicable,Not Applicable,"-26,644","-45,377",0,0,"-396,777","-649,251","-1,118,049",1,88,12,0,0,0,"2,108,094","163,424",3. Mixed,Hybrid
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,10,1,0,12,3,2,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"9,418",35.00,0.00,1,"1,732,752","2,412,863","2,641,799","6,909",0,"6,394,127","400,196",1,"710,000",210.00,"-44,377","-203,845","-254,007",0,"-927,057",0,"-1,429,286",0,98,0,0,0,0,"935,270",537,3. Mixed,Internal
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,5,1,0,7,0,1,0,No,0.50,Yes,805,0.40,1.00,"4,438",4.67,0.00,1,"719,817","11,582,829","4,518,433","1,224,566",0,"8,282,891","9,762,754",0,Not Applicable,Not Applicable,"-281,370","-45,477",0,0,"-982,122",0,"-1,308,969",1,76,37,0,0,0,"1,242,347","222,452",3. Mixed,Hybrid
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,25,1,0,8,0,12,0,0,46,0,1,26,No,0.00,No,Not Applicable,Not Applicable,1.00,"14,189",1.94,0.00,0,"5,018,474","3,623,912","1,593,619","178,163",0,"10,414,168",0,0,Not Applicable,Not Applicable,"-12,651","-581,740","-641,682",0,0,0,"-1,236,073",5,142,5,0,0,0,"253,122","59,750",3. Mixed,Hybrid
RNZ,SALISBURY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,5,0,0,6,0,0,0,No,0.50,Yes,"157,544",0.00,0.60,"2,424",21.50,9.00,1,"13,214,980","15,718,324","1,402,724","1,494,793",0,"21,402,279","10,428,542",1,"10,000,000",500.00,"-134,520","7,410,249","358,490",0,"-931,202","-724,826","5,978,191",2,79,2,0,0,0,"1,479,315","61,603",3. Mixed,Internal
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,3,3,1,3,2,44,19,0,77,42,18,11,No,1.00,No,Not Applicable,Not Applicable,1.00,"5,639",8.00,0.00,0,0,"2,796,236","1,067,893","527,168",0,"4,391,297",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,12,23,1,0,1,0,"1,048,824","156,957",3. Mixed,Other
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,3,9,0,13,3,0,0,No,1.00,Yes,0,0.00,1.00,"10,395",19.50,0.00,10,"27,672,000","1,722,000","5,236,000","13,234,000",0,"25,448,000","22,416,000",0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,56,0,0,0,0,"1,100,992",0,3. Mixed,Internal
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,5,0,0,8,0,2,0,No,0.00,Yes,"61,653",0.23,0.00,"5,554",24.20,0.00,9,"39,569,000","2,872,808","7,209,742","7,245,513",0,"56,221,914","675,149",0,Not Applicable,Not Applicable,"-64,131","-1,190,223","-32,147",0,"-811,210","-337,115","-2,434,826",0,107,22,0,0,0,"2,697,735","57,883",3. Mixed,Hybrid
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,20,0,0,21,5,1,0,Yes,0.40,No,Not Applicable,Not Applicable,0.50,"6,106",0.91,0.00,1,"38,769,000","4,307,000","238,000","1,881,000",0,"38,195,000","7,000,000",1,"22,789",12.00,"135,454","516,785","22,256",0,0,0,"674,495",0,0,13,0,0,0,"894,518","1,709,346",3. Mixed,Hybrid
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,7,0,1,0,1,23,21,2,55,16,5,0,Yes,1.00,No,Not Applicable,Not Applicable,0.00,683,0.23,0.00,0,"8,255,001","3,373,000","174,000","304,000",0,"12,106,001",0,10,"214,000",24.00,0,0,"-57,407",0,0,0,"-57,407",9,34,1,0,0,0,0,"59,075",3. Mixed,Internal
RPA,MEDWAY NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,35,5,0,41,38,5,0,No,0.00,No,Not Applicable,Not Applicable,0.33,"9,449",251.12,0.00,5,"525,532","8,858,159","3,148,587",0,0,"12,359,278","173,000",1,"173,000",40.00,0,"-312,572","-2,842,949","-166,832","-1,474,509","-306,595","-5,103,457",4,324,0,0,0,0,"330,040","1,559,782",3. Mixed,Internal
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"1,670",1.24,0.00,0,"2,230,000","1,832,000",0,0,0,"4,062,000",0,0,Not Applicable,Not Applicable,"-6,900",0,0,0,"-142,936","-20,531","-170,367",1,8,12,0,0,0,"573,227","159,660",3. Mixed,Internal
RPG,OXLEAS NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,3,1,0,0,0,26,3,2,37,4,4,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"6,060",0.56,0.00,1,"429,525","884,087","8,749,058","5,605,729",0,"15,668,399",0,3,"1,290,108",0.00,0,0,0,0,"-454,106","-252,660","-706,766",3,8,4,0,0,0,0,"22,495",3. Mixed,Hybrid
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,0,0,0,0,0,1,2,0,5,0,0,0,No,1.00,Yes,"35,000",0.05,1.00,127,0.85,0.00,3,"8,704,838","3,147,436","3,381,155","2,890,742",0,"10,690,143","7,434,028",4,"498,975",110.90,"-45,849","-1,021,262","-22,385",0,"-370,860","-146,045","-1,606,401",0,24,15,0,0,0,"198,000","105,000",3. Mixed,Hybrid
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,3,0,0,0,0,0,0,0,5,0,0,0,Yes,0.50,Yes,"15,146",13.00,0.25,"8,500",7.01,274.43,0,"9,361,000","24,389,000","4,025,000","8,335,398",0,"24,931,835","21,178,563",1,"900,000",86.00,"-26,339",0,"-135,797",0,"-43,198","-256,952","-462,286",0,13,32,0,0,0,0,"652,204",3. Mixed,Internal
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,4,1,0,7,0,0,0,Yes,0.50,No,Not Applicable,Not Applicable,1.00,315,0.40,0.00,0,"9,939,526","14,312,851","6,223,819","9,287,922","2,330,295","37,022,662","411,161",20,"3,772,143",85.92,"-352,916","-3,691,250","-1,082,803",0,"-2,825,910","-412,527","-8,365,406",1,194,19,0,0,0,"1,101,852","582,305",3. Mixed,Hybrid
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,1,0,2,0,0,0,0,0,6,4,0,13,6,2,0,No,1.00,No,Not Applicable,Not Applicable,1.00,"8,010",6.13,0.00,0,"5,156,000","316,000","3,337,000","1,315,000",0,"10,124,000",0,2,"159,193",0.00,"-132,814","16,571","-2,005,680",0,"-777,812",0,"-2,899,735",2,0,131,0,0,0,"1,100,693","58,477",1. Paper,Internal
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,1,16,4,0,22,6,7,0,No,1.00,Yes,0,0.00,0.00,"4,592",23.15,0.00,0,0,"22,183,248","2,091,629","3,048,541",0,"27,323,418",0,0,Not Applicable,Not Applicable,"-281,112","-263,707","-568,385",0,0,"-118,146","-1,231,350",8,148,1,0,0,0,0,"401,099",3. Mixed,Hybrid
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,23,0,0,0,0,0,1,0,24,9,6,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"8,266",3.84,0.00,0,"23,973,566","517,936","489,332","2,666,861",0,"27,647,695",0,0,Not Applicable,Not Applicable,0,"24,571",0,"-41,068","-4,983","-202,601","-224,081",6,127,0,0,0,0,0,0,2. Electronic,Internal
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,18,0,0,19,14,13,0,No,1.00,No,Not Applicable,Not Applicable,1.00,"3,039",3.68,404.00,14,"9,648,000","5,225,000","1,197,000","363,000",0,"16,417,000","16,000",3,"36,490",487.96,"-95,669","-287,271","-1,700,589",0,"-586,753","-631,296","-3,301,578",0,34,26,0,0,0,"735,086","38,234",3. Mixed,Internal
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,0,1,0,0,0,1,0,9,4,0,17,0,0,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"35,240",94.10,0.00,33,"14,887,011","21,830,603","13,245,392","933,019","500,000","50,163,802","232,223",7,"1,565,720",410.00,"-1,244,015","-7,228,612","-1,471,971","-710,402","-2,184,571","-2,207,933","-15,047,504",3,233,119,0,0,0,"2,124,395","302,315",3. Mixed,Hybrid
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,21,0,1,2,0,251,1,6,282,177,22,84,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"1,313",1.65,0.00,2,"9,506,969","8,432,777",0,0,0,"17,939,746",0,9,"1,033,571",58.97,0,0,0,0,0,0,0,6,3,49,0,0,0,0,"94,077",3. Mixed,Hybrid
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NORTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,1,1,0,0,0,0,0,18,24,0,45,12,0,0,Yes,0.00,No,Not Applicable,Not Applicable,1.00,642,13.70,0.00,4,"14,688,782","4,655,280","2,150,614","227,607",0,"21,722,283",0,2,"435,382",54.50,"-78,826","-2,931,497","-752,378",0,"-587,337","-538,627","-4,888,665",5,28,78,0,0,0,"717,784","44,332",3. Mixed,Hybrid
RRJ,ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0.00,Yes,200,0.00,1.00,"2,355",20.93,0.00,4,0,"2,045,766","213,998",0,0,"2,259,764",0,2,"192,305",152.69,"-20,000","-9,996","-95,881",0,"-204,973","-70,666","-401,516",0,33,3,0,0,0,"544,503","16,126",3. Mixed,Internal
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,4,0,0,0,0,0,0,1,27,9,0,41,7,9,0,No,1.80,No,Not Applicable,Not Applicable,0.60,"60,660",48.46,14.78,4,"23,323,476","13,943,073","7,573,952","491,132",0,"45,331,633",0,2,"189,191",411.69,"-75,346","-805,576","-116,222",0,"-2,937,986","-3,082,083","-7,017,213",9,231,292,0,0,0,"4,036,713","44,737",3. Mixed,Internal
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,4,0,0,1,0,12,1,5,24,12,1,5,No,0.00,No,Not Applicable,Not Applicable,0.00,639,5.46,0.00,0,0,"6,979,555","1,181,767","340,517",0,"8,501,839",0,1,"119,450",0.00,0,"-8,385","-1,408,270",0,"-51,767",0,"-1,468,422",3,54,0,0,0,0,"225,601","185,912",3. Mixed,Internal
RRU,LONDON AMBULANCE SERVICE NHS TRUST,LONDON COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,78,0,78,Not Applicable,Not Applicable,0,Yes,0.00,Yes,0,0.00,1.00,0,0.30,0.00,0,0,"4,155,627",0,0,0,"4,155,627",0,0,Not Applicable,Not Applicable,Not Applicable,0,0,0,Not Applicable,Not Applicable,0,3,3,3,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,4,2,0,0,0,0,0,4,11,0,23,0,0,0,Yes,0.50,Yes,"7,115",3.56,0.50,"6,221",5.26,0.00,2,"510,498","7,136,140","21,271,171",0,"7,220,000","21,421,835","275,974",10,"2,713,872",315.00,"-25,846","-319,472","-83,725",0,-814,"-66,380","-496,237",1,45,84,0,0,0,"1,385,012","604,585",3. Mixed,Hybrid
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,4,0,0,4,0,21,17,0,46,13,8,0,Yes,0.25,Yes,0,0.00,0.50,100,1.00,0.00,3,"427,688","92,224","2,522,366","30,631","390,000","2,682,909",0,3,"110,720",23.20,0,"50,000","-237,000",0,0,0,"-187,000",10,5,4,0,2,0,"18,410","109,722",3. Mixed,Hybrid
RT2,PENNINE CARE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,5,0,4,4,0,55,3,0,71,17,4,0,Yes,1.00,Yes,"58,450",0.00,1.00,0,10.73,0.00,0,0,"3,966,106",0,0,0,"3,966,106",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,20,124,27,0,0,0,"173,479","170,400",3. Mixed,Hybrid
