Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE),Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (CO2e (tonnes)),Waste managers (WTE),WEEE waste cost (£),WEEE waste volume (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (CO2e (tonnes)),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,2,0,5,2,0,10,0,6,0,Yes,0.50,No,Not Applicable,Not Applicable,1.00,"19,211",19.04,0.00,0,"15,953,479","9,342,736","2,654,449",0,0,"27,921,864","28,800",17,"109,163",26.87,"-350,997","-109,755",0,0,"-1,129,072","-463,138","-2,052,962",0,30,2,0,0,0,"1,204,000","287,125",3. Mixed,Internal
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,1,0,2,0,0,5,0,0,0,Yes,1.00,Yes,"65,622",34.50,2.00,"5,691",53.70,0.00,23,"1,792,000","14,689,000","5,398,000","2,348,000",0,"23,601,000","626,000",0,Not Applicable,Not Applicable,"-32,600",0,0,0,"-947,553","-298,375","-1,278,528",0,161,1,0,0,0,"3,180,721","253,013",3. Mixed,Internal
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,1,0,0,0,1,0,4,0,21,2,1,30,8,0,1,Yes,0.10,Yes,"15,803",213.64,1.00,424,6.42,0.00,1,"22,424,000","190,000","8,630,000","5,269,000",0,"36,513,000",0,0,Not Applicable,Not Applicable,"-216,046","-560,882","-6,313",-15,"-1,011,409","-259,419","-2,054,084",3,93,3,0,0,0,"2,371,652","49,464",3. Mixed,Internal
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,1,0,1,0,0,0,2,0,11,2,0,17,5,8,1,No,1.00,No,Not Applicable,Not Applicable,0.60,0,5.05,0.00,6,"15,536,000","11,968,070","3,901,930","98,493",0,"31,504,493",0,3,"78,085",17.58,"-429,688","-397,040","-2,082",0,"-683,801","-488,410","-2,001,021",3,113,0,0,0,0,"96,160","245,543",3. Mixed,Internal
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,3,0,8,2,0,16,0,2,0,Yes,0.00,Yes,"9,829",4.00,1.00,0,0.00,0.00,12,"17,698,537","18,769,163","5,693,943",0,"1,567,187","40,594,456",0,0,Not Applicable,Not Applicable,"-204,604","-1,209,936","-896,654",0,"-3,427,153","-5,495","-5,743,842",5,387,95,0,0,0,"4,001,479","419,000",3. Mixed,Internal
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,1,0,62,5,0,71,46,1,0,No,2.00,Yes,"10,351",4.26,1.00,"11,139",25.57,123.00,7,"6,067,000","25,740,000",0,"26,237,000",0,"58,044,000",0,0,Not Applicable,Not Applicable,"-1,344,539","-10,569,173","-5,781,323","-256,031","-2,330,553","-597,992","-20,879,611",2,167,58,0,0,0,"680,782","269,025",3. Mixed,Hybrid
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.50,0,0.00,0.00,0,"7,322,000","3,280,000",0,0,0,"10,532,000","70,000",1,"350,000",0.00,0,0,0,0,0,0,0,2,67,1,0,0,0,"256,927","72,951",3. Mixed,Hybrid
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,1,1,19,0,0,22,19,0,0,No,1.00,Yes,"32,430",16.60,1.00,480,2.00,0.00,1,0,"6,319,000","1,200,000","5,712,000",0,"13,231,000",0,0,Not Applicable,Not Applicable,0,"-1,202,403","-364,036",0,"-991,638","-171,251","-2,729,328",1,63,2,0,0,0,"1,645,496","349,097",3. Mixed,Hybrid
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SMALL,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Yes,0.00,Yes,"15,000",1.05,0.50,"3,675",3.85,0.00,4,"6,473,794","4,268,631","3,803,778",0,0,"14,546,203",0,0,Not Applicable,Not Applicable,0,0,0,0,"-1,217,063","-849,571","-2,066,634",0,11,3,0,0,0,"623,320","461,956",3. Mixed,Internal
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,11,32,6,1,4,0,119,13,1,187,19,21,14,Yes,0.00,No,Not Applicable,Not Applicable,0.00,784,0.30,0.00,1,"22,047,272","247,323","1,659,758",0,0,"23,954,353",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,9,15,7,0,0,0,"12,168","71,288",3. Mixed,Internal
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,11,0,0,12,11,0,0,No,1.00,No,Not Applicable,Not Applicable,0.00,"10,473",8.00,0.00,0,"11,498,000","11,616,000",0,"4,521,000",0,"23,680,258","3,954,742",1,"2,653,000",0.00,"-168,808","-254,888","-1,042,461",0,"-1,137,184","-121,452","-2,724,793",5,58,5,0,0,0,"2,416,221","206,922",3. Mixed,Internal
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,5,12,0,18,0,0,0,Yes,0.00,Yes,"111,422",1.89,0.00,"4,982",6.86,0.00,2,"6,716,343","10,555,712","646,432","299,518",0,"18,110,043","107,962",2,"188,194",41.81,"-128,759","-4,299","-231,373",0,"-317,129",0,"-681,560",1,72,0,0,0,0,"810,265","72,134",3. Mixed,Internal
